,popularity,budget,revenue,runtime,vote_average,vote_count,percent_return,year,is_english,is_Friday,is_Holiday
79,153.43,200000000.0,726229501.0,143.0,7.202,6033.0,3.631147505,2021,1,0,0
80,153.352,100000000.0,130423032.0,107.0,7.937,5880.0,1.30423032,2021,1,0,0
81,152.492,10000000.0,14779858.0,106.0,6.775,1721.0,1.4779858,2022,1,0,0
82,152.143,200000000.0,402064899.0,156.0,6.992,6867.0,2.010324495,2021,1,0,0
83,151.478,130000000.0,554987477.0,90.0,6.5,3146.0,4.269134438461538,2011,1,0,0
84,150.82,150000000.0,432243292.0,132.0,7.632,7774.0,2.881621946666667,2021,1,0,0
85,149.286,200000000.0,626203271.0,149.0,7.0,37.0,3.131016355,2022,0,0,0
86,147.349,70000000.0,657900000.0,242.0,8.221,8616.0,9.398571428571428,2021,1,0,0
87,146.814,39000000.0,206431050.0,111.0,7.5,4946.0,5.293103846153846,2021,1,0,0
88,145.371,3500000.0,10308238.0,105.0,4.7,73.0,2.945210857142857,2011,0,0,0
89,144.682,10000000.0,33628000.0,105.0,6.4,460.0,3.3628,2022,1,0,0
90,142.156,75000000.0,167460961.0,105.0,6.219,3229.0,2.232812813333333,2022,1,0,0
91,141.062,115000000.0,579707738.0,92.0,7.826,16465.0,5.040936852173913,2001,1,0,0
92,140.734,24000000.0,236049757.0,119.0,8.4,8042.0,9.835406541666666,2004,0,0,0
93,140.73,69000000.0,160000000.0,187.0,7.757,752.0,2.318840579710145,2022,0,0,0
94,140.296,40000000.0,38600612.0,107.0,6.092,1991.0,0.9650153,2021,1,0,0
95,139.523,82000000.0,146745280.0,107.0,7.477,2164.0,1.7895765853658536,2021,1,0,0
96,138.726,20000000.0,77263354.0,102.0,7.4,1102.0,3.8631677,2022,1,0,0
97,137.997,190000000.0,156497322.0,147.0,6.549,4550.0,0.8236701157894737,2021,1,0,0
98,137.953,2500000.0,60141683.0,86.0,5.783,1519.0,24.0566732,2013,1,1,0
99,137.574,93000000.0,871368364.0,179.0,8.394,22308.0,9.369552301075268,2001,1,0,0
100,135.717,200000000.0,233503234.0,134.0,8.086,7972.0,1.16751617,2021,1,0,0
101,134.419,200000000.0,623933331.0,124.0,6.831,18960.0,3.119666655,2010,1,0,0
102,134.341,1000000.0,26814924.0,111.0,7.6,35.0,26.814924,2023,1,0,0
103,134.027,190000000.0,1515047671.0,137.0,7.233,9545.0,7.973935110526316,2015,1,0,0
104,133.989,94000000.0,940335536.0,100.0,7.824,17382.0,10.003569531914891,2003,1,1,0
105,131.146,105000000.0,270997378.0,98.0,7.174,4783.0,2.580927409523809,2009,1,0,0
106,130.097,200000000.0,760098996.0,137.0,6.865,6149.0,3.80049498,2019,1,0,0
107,129.887,200000000.0,226425420.0,105.0,7.1,2650.0,1.1321271,2022,1,0,0
108,127.835,35000000.0,79628200.0,107.0,7.25,2469.0,2.2750914285714288,2022,1,0,0
109,126.633,165000000.0,657827828.0,102.0,7.7,14245.0,3.986835321212121,2014,1,1,0
110,126.553,40000000.0,103966489.0,119.0,7.682,4197.0,2.599162225,2021,1,0,0
111,125.976,365000000.0,1405403694.0,141.0,7.282,20978.0,3.850421079452055,2015,1,0,0
112,125.343,165000000.0,402027830.0,155.0,7.745,6913.0,2.436532303030303,2021,1,1,0
113,125.291,210000000.0,1104054072.0,165.0,5.894,7134.0,5.257400342857143,2014,1,0,0
114,124.904,26000000.0,144327371.0,86.0,7.5,1084.0,5.55105273076923,2021,1,0,0
115,124.681,150000000.0,928760770.0,93.0,7.222,10744.0,6.191738466666667,2004,1,0,0
116,123.562,185000000.0,168717425.0,132.0,7.6,7041.0,0.911986081081081,2021,1,0,0
117,120.538,130000000.0,631744560.0,90.0,7.219,10003.0,4.859573538461539,2008,1,0,0
118,120.356,40000000.0,30354110.0,151.0,7.952,841.0,0.75885275,2022,1,1,0
119,120.122,150000000.0,136384442.0,101.0,8.162,8873.0,0.9092296133333332,2020,1,1,0
120,119.918,140000000.0,655011224.0,143.0,7.782,18455.0,4.6786516,2003,1,0,0
121,119.17,380000000.0,1045713802.0,137.0,6.5,12627.0,2.7518784263157894,2011,1,0,0
122,117.438,200000000.0,708962323.0,141.0,6.487,11775.0,3.544811615,2014,1,0,0
123,116.783,300000000.0,961000000.0,169.0,7.236,12784.0,3.203333333333333,2007,1,0,0
124,116.631,100000000.0,125928656.0,131.0,6.828,3532.0,1.25928656,2021,1,0,0
125,115.572,100000000.0,392000000.0,180.0,8.036,21139.0,3.92,2013,1,0,0
126,114.747,40000000.0,203044905.0,86.0,6.638,1979.0,5.076122625,2019,1,0,0
127,113.64,2900000.0,263591415.0,74.0,7.035,5970.0,90.89359137931037,1950,1,0,0
128,112.847,150000000.0,1450026933.0,103.0,7.281,8708.0,9.66684622,2019,1,0,0
129,112.806,6000000.0,245066411.0,175.0,8.715,17521.0,40.844401833333336,1972,1,0,0
130,112.509,14000000.0,69497587.0,106.0,7.2,7404.0,4.964113357142857,2019,1,0,0
131,112.418,68000000.0,211817906.0,135.0,7.5,10559.0,3.114969205882353,2014,1,0,0
132,111.922,25000000.0,424967620.0,84.0,7.7,8889.0,16.9987048,1991,1,0,0
133,111.664,150000000.0,1023784195.0,109.0,7.746,14669.0,6.825227966666667,2016,1,0,0
134,111.384,5000000.0,61768190.0,93.0,6.8,1596.0,12.353638,2015,0,0,0
135,110.669,250000000.0,1153337496.0,147.0,7.438,20828.0,4.613349984,2016,1,0,0
136,110.595,34000000.0,348319861.0,113.0,7.17,15343.0,10.244701794117647,2014,1,0,0
137,110.594,150000000.0,259239658.0,164.0,7.522,11575.0,1.7282643866666667,2017,1,0,0
138,110.478,20000000.0,84426031.0,110.0,7.1,5127.0,4.22130155,2021,1,0,0
139,110.034,200000000.0,470116094.0,114.0,7.706,8559.0,2.35058047,2021,1,0,0
140,109.978,250000000.0,1238764765.0,136.0,6.9,9300.0,4.95505906,2017,1,0,0
141,109.655,40000000.0,211343479.0,83.0,7.3,6854.0,5.283586975,1989,1,1,0
142,109.527,175000000.0,880166924.0,133.0,7.352,19691.0,5.02952528,2017,1,0,0
143,108.589,165000000.0,752600867.0,93.0,6.332,6392.0,4.561217375757575,2010,1,0,0
144,108.584,170000000.0,1310466296.0,129.0,6.553,9960.0,7.708625270588235,2018,1,1,0
145,108.502,200000000.0,1349926083.0,135.0,7.394,20361.0,6.749630415,2018,1,0,0
146,108.195,903852.0,19840000.0,114.0,7.828,1531.0,21.950496320194013,2014,0,0,0
147,107.947,2620000.0,492000.0,109.0,6.0,130.0,0.1877862595419847,2022,1,0,0
148,106.922,18052672.0,19200000.0,140.0,7.853,170.0,1.0635544699421782,2022,0,0,0
149,106.902,63000000.0,463517383.0,136.0,8.197,22845.0,7.357418777777778,1999,1,0,0
150,106.566,25000000.0,216639112.0,146.0,8.2,6988.0,8.66556448,2011,1,0,0
151,106.445,85000000.0,319715683.0,99.0,7.4,8534.0,3.761360976470588,2020,1,0,0
152,106.366,43000000.0,15400000.0,104.0,6.3,814.0,0.3581395348837209,2022,1,0,0
153,106.285,215000000.0,757930663.0,136.0,6.7,15754.0,3.525258897674419,2012,1,0,0
154,106.248,175000000.0,383925276.0,102.0,6.8,4928.0,2.19385872,2017,1,0,0
155,105.602,64000000.0,107347356.0,97.0,7.3,1510.0,1.6773024375,2021,1,0,0
156,105.396,85000000.0,286000000.0,159.0,7.677,2275.0,3.364705882352941,2022,1,0,0
157,104.305,80000000.0,366080049.0,132.0,7.039,8225.0,4.5760006125,2019,1,1,0
158,103.224,49000000.0,104399548.0,120.0,6.8,7194.0,2.1306030204081634,2015,1,0,0
159,103.142,160000000.0,178143.0,118.0,6.8,4644.0,0.00111339375,2021,1,0,0
160,103.034,79000000.0,926287400.0,179.0,8.375,19388.0,11.725156962025316,2002,1,0,0
161,102.959,139000000.0,821708551.0,121.0,7.261,16810.0,5.911572309352518,2002,1,0,0
162,102.77,9100000.0,6459306.0,136.0,6.2,416.0,0.7098138461538461,2021,0,0,0
163,102.367,90000000.0,497366869.0,92.0,7.583,12354.0,5.526298544444445,1999,1,0,0
164,101.409,35000000.0,5250783.0,158.0,7.229,459.0,0.1500223714285714,2022,1,1,0
165,101.032,130000000.0,403354469.0,124.0,6.516,10800.0,3.1027266846153845,2012,1,0,0
166,100.515,94000000.0,1118888979.0,201.0,8.474,21198.0,11.903074244680852,2003,1,0,0
167,100.208,175000000.0,857611174.0,95.0,7.925,18730.0,4.90063528,2015,1,0,0
168,100.166,14000000.0,21500000.0,99.0,7.1,2096.0,1.5357142857142858,2021,1,0,0
169,100.05,160000000.0,813367380.0,93.0,6.3,7914.0,5.083546125,2007,1,0,0
